"week_end_date","region","copies_per_day_per_person","population_covered","n_sites"
"2023-05-07","Otago","5625458","189300","7"
"2023-05-07","Hawke's Bay","1988286","84610","2"
"2023-05-07","Auckland","3349801","1365260","6"
"2023-05-07","Bay of Plenty","4488666","214920","8"
"2023-05-07","Southland","4761111","58000","2"
"2023-04-30","Wellington","1551716","444300","6"
"2023-04-30","West Coast","1701426","15000","2"
"2023-04-30","Waikato","2006806","236700","6"
"2023-04-30","Taranaki","3168750","102007","3"
"2023-04-30","Manawatu-Whanganui","4339326","155700","3"
"2023-04-30","Marlborough","4797723","36000","2"
"2023-04-30","Nelson","3330439","26000","1"
"2023-04-30","Hawke's Bay","1668294","84610","2"
"2023-04-30","Bay of Plenty","3972468","214920","8"
"2023-04-30","Canterbury","3292745","470100","6"
"2023-04-30","Northland","1093867","13630","5"
"2023-04-30","Gisborne","1406748","37000","1"
"2023-04-30","Otago","3083083","174800","6"
"2023-04-30","Auckland","4194179","1369260","7"
"2023-04-30","Southland","5032745","58000","2"
"2023-04-23","Auckland","4392765","1369260","7"
"2023-04-23","Bay of Plenty","4121757","220820","8"
"2023-04-23","Canterbury","5363825","492000","8"
"2023-04-23","Waikato","1794242","243300","7"
"2023-04-23","Wellington","2723118","465000","7"
"2023-04-23","West Coast","920179","15000","2"
"2023-04-23","Tasman","29009628","8300","1"
"2023-04-23","Southland","12198491","58000","2"
"2023-04-23","Taranaki","4814306","102007","3"
"2023-04-23","Manawatu-Whanganui","3429756","155700","3"
"2023-04-23","Marlborough","6568032","5000","1"
"2023-04-23","Nelson","5813730","86000","2"
"2023-04-23","Hawke's Bay","2511062","84610","2"
"2023-04-23","Northland","1365941","73630","5"
"2023-04-23","Gisborne","2874267","37000","1"
"2023-04-23","Otago","5719985","189300","7"
"2023-04-16","Taranaki","5851309","102007","3"
"2023-04-16","Tasman","7501033","8300","1"
"2023-04-16","Waikato","3530393","243300","7"
"2023-04-16","Southland","18934892","52000","2"
"2023-04-16","Canterbury","8215213","492000","8"
"2023-04-16","Gisborne","3226942","37000","1"
"2023-04-16","Wellington","2926719","485579","11"
"2023-04-16","Hawke's Bay","3050470","84610","2"
"2023-04-16","West Coast","2491933","16000","3"
"2023-04-16","Bay of Plenty","7317715","225920","10"
"2023-04-16","Auckland","3298468","1411660","9"
"2023-04-16","Northland","1035906","74030","6"
"2023-04-16","Otago","6192221","174800","6"
"2023-04-16","Manawatu-Whanganui","4238802","157357","4"
"2023-04-16","Marlborough","1362449","36000","2"
"2023-04-16","Nelson","3689381","26000","1"
"2023-04-09","Wellington","3483757","433079","9"
"2023-04-09","West Coast","5569323","16000","3"
"2023-04-09","Waikato","1971105","239300","6"
"2023-04-09","Taranaki","2219292","102007","3"
"2023-04-09","Tasman","156024","8300","1"
"2023-04-09","Manawatu-Whanganui","2312504","159700","4"
"2023-04-09","Nelson","2026416","86000","2"
"2023-04-09","Hawke's Bay","1919516","84610","2"
"2023-04-09","Northland","4919842","79030","7"
"2023-04-09","Bay of Plenty","3822479","211120","7"
"2023-04-09","Canterbury","7521426","492000","8"
"2023-04-09","Otago","6161559","186800","7"
"2023-04-09","Gisborne","167818","37000","1"
"2023-04-09","Southland","4587441","60000","3"
"2023-04-09","Auckland","7919560","1415060","9"
"2023-04-02","Waikato","575239","230200","6"
"2023-04-02","Wellington","2615481","485579","11"
"2023-04-02","Tasman","614544","8300","1"
"2023-04-02","West Coast","1938518","16000","3"
"2023-04-02","Taranaki","3480262","102007","3"
"2023-04-02","Manawatu-Whanganui","2316520","167054","6"
"2023-04-02","Marlborough","918481","36000","2"
"2023-04-02","Hawke's Bay","2077462","80000","1"
"2023-04-02","Nelson","6309379","86000","2"
"2023-04-02","Bay of Plenty","3301935","225920","10"
"2023-04-02","Canterbury","7173723","492000","8"
"2023-04-02","Northland","18056421","9030","5"
"2023-04-02","Gisborne","224013","37000","1"
"2023-04-02","Auckland","4242961","1415660","10"
"2023-04-02","Otago","2839994","193400","8"
"2023-04-02","Southland","3480836","60000","3"
"2023-03-26","Waikato","1015800","243300","7"
"2023-03-26","Wellington","3074217","485579","11"
"2023-03-26","Taranaki","3230464","102007","3"
"2023-03-26","West Coast","2809878","16000","3"
"2023-03-26","Otago","4841987","189300","7"
"2023-03-26","Southland","4514155","60000","3"
"2023-03-26","Hawke's Bay","2755783","84610","2"
"2023-03-26","Manawatu-Whanganui","1188470","167054","6"
"2023-03-26","Gisborne","3546331","37000","1"
"2023-03-26","Marlborough","7903661","36000","2"
"2023-03-26","Auckland","4447308","1436560","11"
"2023-03-26","Bay of Plenty","2673383","216820","8"
"2023-03-26","Nelson","1177550","26000","1"
"2023-03-26","Canterbury","2814527","492000","8"
"2023-03-26","Northland","1815410","67800","4"
"2023-03-19","Taranaki","1904341","102007","3"
"2023-03-19","Waikato","703835","210100","5"
"2023-03-19","Southland","6410423","60000","3"
"2023-03-19","Wellington","2350906","485579","11"
"2023-03-19","West Coast","3461935","16000","3"
"2023-03-19","Canterbury","4201756","492000","8"
"2023-03-19","Gisborne","1457435","37000","1"
"2023-03-19","Bay of Plenty","2568147","193900","7"
"2023-03-19","Hawke's Bay","3418839","84610","2"
"2023-03-19","Manawatu-Whanganui","1715541","167054","6"
"2023-03-19","Auckland","3222793","1295660","9"
"2023-03-19","Nelson","1850655","86000","2"
"2023-03-19","Northland","477492","79030","7"
"2023-03-19","Otago","5628391","205400","9"
"2023-03-12","Wellington","3635140","485579","11"
"2023-03-12","West Coast","4686807","16000","3"
"2023-03-12","Otago","3695940","189300","7"
"2023-03-12","Southland","3358086","60000","3"
"2023-03-12","Northland","3203749","79030","7"
"2023-03-12","Taranaki","1690851","102007","3"
"2023-03-12","Marlborough","4023970","36000","2"
"2023-03-12","Waikato","930491","243300","7"
"2023-03-12","Nelson","3313010","86000","2"
"2023-03-12","Auckland","3564981","1274560","9"
"2023-03-12","Bay of Plenty","3420239","225920","10"
"2023-03-12","Canterbury","6316381","492000","8"
"2023-03-12","Hawke's Bay","4114756","84610","2"
"2023-03-12","Manawatu-Whanganui","2608809","167054","6"
"2023-03-05","West Coast","595054","16000","3"
"2023-03-05","Taranaki","2139693","102007","3"
"2023-03-05","Waikato","1011424","225200","4"
"2023-03-05","Wellington","2449714","485579","11"
"2023-03-05","Nelson","4735129","86000","2"
"2023-03-05","Northland","1867000","76230","4"
"2023-03-05","Marlborough","4233840","36000","2"
"2023-03-05","Otago","4638006","193400","8"
"2023-03-05","Southland","1391877","60000","3"
"2023-03-05","Manawatu-Whanganui","2837445","167054","6"
"2023-03-05","Auckland","3573591","980660","8"
"2023-03-05","Bay of Plenty","3037199","214920","8"
"2023-03-05","Canterbury","4277559","464000","7"
"2023-03-05","Hawke's Bay","1970996","84610","2"
"2023-02-26","Wellington","2368339","485579","11"
"2023-02-26","West Coast","1698195","16000","3"
"2023-02-26","Waikato","1204116","225200","4"
"2023-02-26","Otago","3625808","189300","7"
"2023-02-26","Southland","2087761","60000","3"
"2023-02-26","Taranaki","1373676","102007","3"
"2023-02-26","Manawatu-Whanganui","2092336","167054","6"
"2023-02-26","Marlborough","6298217","36000","2"
"2023-02-26","Canterbury","3638672","492000","8"
"2023-02-26","Nelson","3345881","26000","1"
"2023-02-26","Auckland","1969402","1291660","8"
"2023-02-26","Northland","1193862","76230","4"
"2023-02-26","Bay of Plenty","2786802","204900","9"
"2023-02-19","Southland","1814729","60000","3"
"2023-02-19","Taranaki","2646878","102007","3"
"2023-02-19","Otago","1920894","205400","9"
"2023-02-19","Waikato","1140944","225200","4"
"2023-02-19","Manawatu-Whanganui","1004453","167054","6"
"2023-02-19","Marlborough","2796029","36000","2"
"2023-02-19","Wellington","2299359","485579","11"
"2023-02-19","Nelson","1240603","86000","2"
"2023-02-19","Bay of Plenty","2768302","222120","9"
"2023-02-19","Canterbury","2124201","474000","7"
"2023-02-19","Gisborne","4606226","37000","1"
"2023-02-19","Hawke's Bay","1557766","135000","2"
"2023-02-19","West Coast","333688","16000","3"
"2023-02-19","Auckland","1176755","1288160","7"
"2023-02-12","Northland","1009560","74030","6"
"2023-02-12","Otago","1377454","189300","7"
"2023-02-12","Nelson","4046218","86000","2"
"2023-02-12","Southland","43086","60000","3"
"2023-02-12","Hawke's Bay","6212614","139610","3"
"2023-02-12","Manawatu-Whanganui","1770102","167054","6"
"2023-02-12","Taranaki","1512374","102007","3"
"2023-02-12","Marlborough","834414","36000","2"
"2023-02-12","Auckland","2172772","1273960","8"
"2023-02-12","Bay of Plenty","3345330","225920","10"
"2023-02-12","Canterbury","3260913","471900","6"
"2023-02-12","Gisborne","180824","37000","1"
"2023-02-12","Waikato","966245","232700","5"
"2023-02-12","Wellington","1702224","485579","11"
"2023-02-12","West Coast","6037840","16000","3"
"2023-02-05","West Coast","338310","16000","3"
"2023-02-05","Waikato","261510","225200","4"
"2023-02-05","Wellington","3512382","485579","11"
"2023-02-05","Nelson","2062074","26000","1"
"2023-02-05","Northland","708035","72300","5"
"2023-02-05","Marlborough","619862","36000","2"
"2023-02-05","Otago","831583","189300","7"
"2023-02-05","Gisborne","1394553","37000","1"
"2023-02-05","Hawke's Bay","678246","139610","3"
"2023-02-05","Southland","1710837","60000","3"
"2023-02-05","Manawatu-Whanganui","1421435","167054","6"
"2023-02-05","Auckland","910042","1320460","10"
"2023-02-05","Bay of Plenty","3334148","198820","5"
"2023-02-05","Canterbury","1342863","492000","8"
"2023-02-05","Taranaki","2232823","102007","3"
"2023-01-29","West Coast","451664","16000","3"
"2023-01-29","Wellington","2826338","485579","11"
"2023-01-29","Waikato","999257","243300","7"
"2023-01-29","Marlborough","1011747","36000","2"
"2023-01-29","Nelson","1398883","86000","2"
"2023-01-29","Manawatu-Whanganui","2464696","167054","6"
"2023-01-29","Northland","1322674","79030","7"
"2023-01-29","Canterbury","2295267","492000","8"
"2023-01-29","Gisborne","1960580","37000","1"
"2023-01-29","Otago","730120","193400","8"
"2023-01-29","Hawke's Bay","6138117","139610","3"
"2023-01-29","Auckland","1529082","1435960","10"
"2023-01-29","Bay of Plenty","1752235","225920","10"
"2023-01-29","Southland","908541","60000","3"
"2023-01-29","Taranaki","4162785","14007","2"
"2023-01-22","Wellington","4283330","485579","11"
"2023-01-22","West Coast","2370641","16000","3"
"2023-01-22","Waikato","1224574","243300","7"
"2023-01-22","Southland","1077675","60000","3"
"2023-01-22","Taranaki","2806272","102007","3"
"2023-01-22","Manawatu-Whanganui","4901766","167054","6"
"2023-01-22","Marlborough","1166978","36000","2"
"2023-01-22","Hawke's Bay","3289219","139610","3"
"2023-01-22","Nelson","1624833","86000","2"
"2023-01-22","Bay of Plenty","6238205","214920","8"
"2023-01-22","Canterbury","2338309","492000","8"
"2023-01-22","Northland","2019658","79030","7"
"2023-01-22","Gisborne","2221328","37000","1"
"2023-01-22","Auckland","1960081","1435960","10"
"2023-01-22","Otago","1200497","205400","9"
"2023-01-15","Waikato","1422325","223200","6"
"2023-01-15","Wellington","3876465","485579","11"
"2023-01-15","Taranaki","3792482","102007","3"
"2023-01-15","West Coast","780347","16000","3"
"2023-01-15","Hawke's Bay","2198974","139610","3"
"2023-01-15","Manawatu-Whanganui","1647337","77054","5"
"2023-01-15","Gisborne","7310304","37000","1"
"2023-01-15","Marlborough","3979794","31000","1"
"2023-01-15","Auckland","3364866","1435960","10"
"2023-01-15","Bay of Plenty","3663065","205820","6"
"2023-01-15","Nelson","6459946","26000","1"
"2023-01-15","Canterbury","4348323","474000","7"
"2023-01-15","Northland","672789","79030","7"
"2023-01-15","Otago","4973656","189300","7"
"2023-01-15","Southland","2730404","60000","3"
"2023-01-08","Auckland","5623999","1355000","4"
"2023-01-08","Canterbury","6083496","368000","1"
"2023-01-01","Auckland","8458330","1355000","4"
"2023-01-01","Canterbury","11389916","368000","1"
"2022-12-25","West Coast","8517214","16000","3"
"2022-12-25","Waikato","2265485","210100","5"
"2022-12-25","Wellington","9777897","485579","11"
"2022-12-25","Nelson","17271080","26000","1"
"2022-12-25","Northland","4049486","74030","6"
"2022-12-25","Marlborough","4633498","31000","1"
"2022-12-25","Otago","6712193","189300","7"
"2022-12-25","Gisborne","3146491","37000","1"
"2022-12-25","Hawke's Bay","5647571","139610","3"
"2022-12-25","Southland","9209453","60000","3"
"2022-12-25","Manawatu-Whanganui","6886744","69700","3"
"2022-12-25","Auckland","13540724","1436560","11"
"2022-12-25","Bay of Plenty","8591765","209820","7"
"2022-12-25","Canterbury","8182329","492000","8"
"2022-12-25","Taranaki","7478964","102007","3"
"2022-12-18","West Coast","400000","1000","1"
"2022-12-18","Wellington","20590162","485579","11"
"2022-12-18","Waikato","11715109","243300","7"
"2022-12-18","Marlborough","5981014","36000","2"
"2022-12-18","Nelson","6276369","86000","2"
"2022-12-18","Manawatu-Whanganui","9084086","69700","3"
"2022-12-18","Northland","4068720","74030","6"
"2022-12-18","Canterbury","9891890","492000","8"
"2022-12-18","Gisborne","8885709","37000","1"
"2022-12-18","Otago","8397062","193400","8"
"2022-12-18","Hawke's Bay","8671150","139610","3"
"2022-12-18","Auckland","19811420","1436560","11"
"2022-12-18","Bay of Plenty","20175677","225920","10"
"2022-12-18","Southland","30146951","60000","3"
"2022-12-18","Taranaki","15504972","102007","3"
"2022-12-11","Southland","7555839","60000","3"
"2022-12-11","Wellington","13044314","485579","11"
"2022-12-11","West Coast","5137142","16000","3"
"2022-12-11","Waikato","2975275","243300","7"
"2022-12-11","Otago","9412529","205400","9"
"2022-12-11","Taranaki","4059193","102007","3"
"2022-12-11","Hawke's Bay","12228668","135000","2"
"2022-12-11","Manawatu-Whanganui","5428061","167054","6"
"2022-12-11","Gisborne","7659862","37000","1"
"2022-12-11","Marlborough","18379895","36000","2"
"2022-12-11","Auckland","17028580","1390760","9"
"2022-12-11","Bay of Plenty","11530686","216820","8"
"2022-12-11","Nelson","3787983","86000","2"
"2022-12-11","Canterbury","12814424","492000","8"
"2022-12-11","Northland","6252065","79030","7"
"2022-12-04","Manawatu-Whanganui","6127953","167054","6"
"2022-12-04","Marlborough","3899819","36000","2"
"2022-12-04","Hawke's Bay","7644616","144010","4"
"2022-12-04","Nelson","6793011","86000","2"
"2022-12-04","Bay of Plenty","8802705","216820","8"
"2022-12-04","Canterbury","5237240","492000","8"
"2022-12-04","Northland","2930802","77300","6"
"2022-12-04","Gisborne","2399818","37000","1"
"2022-12-04","Auckland","11893639","1436560","11"
"2022-12-04","Otago","7333835","193400","8"
"2022-12-04","Southland","3376575","60000","3"
"2022-12-04","Taranaki","5631270","102007","3"
"2022-12-04","Waikato","1234212","243300","7"
"2022-12-04","Wellington","4803042","485579","11"
"2022-12-04","West Coast","774804","16000","3"
"2022-11-27","Waikato","2096208","243300","7"
"2022-11-27","Wellington","4744381","485579","11"
"2022-11-27","Taranaki","2687403","102007","3"
"2022-11-27","West Coast","1184344","16000","3"
"2022-11-27","Otago","4664065","193400","8"
"2022-11-27","Southland","1213050","60000","3"
"2022-11-27","Hawke's Bay","9319861","144010","4"
"2022-11-27","Manawatu-Whanganui","3445667","167054","6"
"2022-11-27","Gisborne","8886449","37000","1"
"2022-11-27","Marlborough","2767392","36000","2"
"2022-11-27","Auckland","5817958","1436560","11"
"2022-11-27","Bay of Plenty","6423228","216820","8"
"2022-11-27","Nelson","2669942","86000","2"
"2022-11-27","Canterbury","2718649","492000","8"
"2022-11-27","Northland","4971866","79030","7"
"2022-11-20","Tasman","350842","8300","1"
"2022-11-20","Waikato","2104990","243300","7"
"2022-11-20","Taranaki","2600560","102007","3"
"2022-11-20","Wellington","3856905","485579","11"
"2022-11-20","West Coast","1128686","16000","3"
"2022-11-20","Southland","20023182","60000","3"
"2022-11-20","Hawke's Bay","3072536","144010","4"
"2022-11-20","Manawatu-Whanganui","3331478","167054","6"
"2022-11-20","Gisborne","1537643","37000","1"
"2022-11-20","Marlborough","3101942","36000","2"
"2022-11-20","Auckland","3058412","1394560","10"
"2022-11-20","Bay of Plenty","4635806","216820","8"
"2022-11-20","Nelson","1734918","86000","2"
"2022-11-20","Canterbury","4072971","492000","8"
"2022-11-20","Northland","1381023","74030","6"
"2022-11-20","Otago","4450035","193400","8"
"2022-11-13","Tasman","156024","8300","1"
"2022-11-13","Waikato","1350341","243300","7"
"2022-11-13","Taranaki","3379137","102007","3"
"2022-11-13","Wellington","7596565","485579","11"
"2022-11-13","Otago","4149550","205400","9"
"2022-11-13","West Coast","1063323","11000","2"
"2022-11-13","Southland","2397828","60000","3"
"2022-11-13","Hawke's Bay","5023890","144010","4"
"2022-11-13","Manawatu-Whanganui","6379534","167054","6"
"2022-11-13","Gisborne","2832054","37000","1"
"2022-11-13","Marlborough","1035653","36000","2"
"2022-11-13","Auckland","5773322","1390760","9"
"2022-11-13","Bay of Plenty","5158207","216820","8"
"2022-11-13","Nelson","1867435","86000","2"
"2022-11-13","Canterbury","4686377","492000","8"
"2022-11-13","Northland","3109218","74030","6"
"2022-11-06","Taranaki","3571764","102007","3"
"2022-11-06","Waikato","2952051","223200","6"
"2022-11-06","Southland","10166952","60000","3"
"2022-11-06","Wellington","7967685","485579","11"
"2022-11-06","West Coast","6304864","11000","2"
"2022-11-06","Gisborne","2939641","37000","1"
"2022-11-06","Hawke's Bay","3554685","144010","4"
"2022-11-06","Canterbury","6474632","492000","8"
"2022-11-06","Manawatu-Whanganui","9728960","167054","6"
"2022-11-06","Auckland","2622286","1395560","11"
"2022-11-06","Marlborough","1107638","36000","2"
"2022-11-06","Bay of Plenty","2978336","225920","10"
"2022-11-06","Nelson","3896892","86000","2"
"2022-11-06","Northland","987260","72300","5"
"2022-11-06","Otago","7533091","193400","8"
"2022-10-30","West Coast","16073309","11000","2"
"2022-10-30","Southland","6465712","60000","3"
"2022-10-30","Taranaki","3900768","102007","3"
"2022-10-30","Otago","4109439","193400","8"
"2022-10-30","Waikato","2015081","243300","7"
"2022-10-30","Nelson","3684867","86000","2"
"2022-10-30","Wellington","12253779","485579","11"
"2022-10-30","Northland","2144512","74030","6"
"2022-10-30","Canterbury","7123817","464000","7"
"2022-10-30","Gisborne","8406620","37000","1"
"2022-10-30","Bay of Plenty","3787866","225920","10"
"2022-10-30","Hawke's Bay","7694712","144010","4"
"2022-10-30","Manawatu-Whanganui","10756683","167054","6"
"2022-10-30","Auckland","4185279","1436560","11"
"2022-10-30","Marlborough","960247","36000","2"
"2022-10-23","Wellington","12502908","485579","11"
"2022-10-23","West Coast","367076","11000","2"
"2022-10-23","Otago","3733161","193400","8"
"2022-10-23","Southland","4280602","60000","3"
"2022-10-23","Northland","3064849","79030","7"
"2022-10-23","Taranaki","4348475","102007","3"
"2022-10-23","Waikato","1880014","243300","7"
"2022-10-23","Nelson","3542376","26000","1"
"2022-10-23","Bay of Plenty","4056406","216820","8"
"2022-10-23","Canterbury","2737544","492000","8"
"2022-10-23","Auckland","5386772","1390760","9"
"2022-10-23","Gisborne","4020679","37000","1"
"2022-10-23","Hawke's Bay","3205897","147857","9"
"2022-10-23","Manawatu-Whanganui","3865187","167054","6"
"2022-10-23","Marlborough","1303544","36000","2"
"2022-10-16","Waikato","2152042","243300","7"
"2022-10-16","Wellington","13077907","485579","11"
"2022-10-16","West Coast","3427574","11000","2"
"2022-10-16","Northland","607787","79030","7"
"2022-10-16","Otago","2873147","193400","8"
"2022-10-16","Nelson","4546493","86000","2"
"2022-10-16","Southland","736367","60000","3"
"2022-10-16","Manawatu-Whanganui","3523729","167054","6"
"2022-10-16","Taranaki","3702849","102007","3"
"2022-10-16","Marlborough","2806254","36000","2"
"2022-10-16","Auckland","4853295","1398660","10"
"2022-10-16","Bay of Plenty","9676077","216820","8"
"2022-10-16","Canterbury","6352822","492000","8"
"2022-10-16","Gisborne","5436568","37000","1"
"2022-10-16","Hawke's Bay","4497775","147434","7"
"2022-10-09","Auckland","4972938","1444460","12"
"2022-10-09","Bay of Plenty","6523763","211120","7"
"2022-10-09","Canterbury","4239105","492000","8"
"2022-10-09","Marlborough","4394899","36000","2"
"2022-10-09","Nelson","7833677","26000","1"
"2022-10-09","Northland","2292875","79030","7"
"2022-10-09","West Coast","3406780","13900","3"
"2022-10-09","Taranaki","3040139","102007","3"
"2022-10-09","Waikato","1428504","243300","7"
"2022-10-09","Wellington","6334630","485579","11"
