"week_end_date","region","copies_per_day_per_person","population_covered","n_sites"
"2023-12-03","West Coast","28620548","15000","2"
"2023-12-03","Auckland","7440053","1375900","5"
"2023-12-03","Northland","4611971","65000","1"
"2023-12-03","Wellington","6901218","459200","6"
"2023-12-03","Canterbury","5010884","449000","4"
"2023-12-03","Southland","2966514","50000","1"
"2023-12-03","Waikato","785770","198600","3"
"2023-12-03","Bay of Plenty","2656146","202020","5"
"2023-12-03","Hawke's Bay","6038569","135000","2"
"2023-12-03","Marlborough","1969270","31000","1"
"2023-12-03","Nelson","2378119","86000","2"
"2023-12-03","Manawatu-Whanganui","3188822","155700","3"
"2023-11-26","Northland","5243655","70000","2"
"2023-11-26","Manawatu-Whanganui","3457168","155700","3"
"2023-11-26","Bay of Plenty","5126846","202020","5"
"2023-11-26","Wellington","6150862","459200","6"
"2023-11-26","Nelson","9747243","26000","1"
"2023-11-26","Taranaki","3111976","100000","2"
"2023-11-26","Canterbury","6308693","449000","4"
"2023-11-26","West Coast","484818","15000","2"
"2023-11-26","Tasman","4884103","8300","1"
"2023-11-26","Southland","13283653","50000","1"
"2023-11-26","Waikato","1434533","198600","3"
"2023-11-26","Marlborough","1903825","31000","1"
"2023-11-26","Otago","4312510","161500","4"
"2023-11-26","Auckland","7105018","1375900","5"
"2023-11-26","Hawke's Bay","3293944","135000","2"
"2023-11-19","Auckland","7993126","1375900","5"
"2023-11-19","Canterbury","4463445","449000","4"
"2023-11-19","Bay of Plenty","4957684","202020","5"
"2023-11-19","Marlborough","6072244","31000","1"
"2023-11-19","Southland","9338692","50000","1"
"2023-11-19","Northland","4335065","65000","1"
"2023-11-19","Hawke's Bay","4652643","135000","2"
"2023-11-19","Gisborne","1081844","37000","1"
"2023-11-19","Manawatu-Whanganui","4077235","155700","3"
"2023-11-19","Waikato","812392","198600","3"
"2023-11-19","Tasman","2013022","8300","1"
"2023-11-19","Wellington","5200035","459200","6"
"2023-11-19","Otago","3510232","161500","4"
"2023-11-19","Taranaki","6390151","100000","2"
"2023-11-19","Nelson","3580533","86000","2"
"2023-11-19","West Coast","3234000","15000","2"
"2023-11-12","Hawke's Bay","10463340","135000","2"
"2023-11-12","Nelson","2056921","26000","1"
"2023-11-12","Auckland","5408063","1375900","5"
"2023-11-12","Marlborough","7188455","31000","1"
"2023-11-12","Otago","2202774","161500","4"
"2023-11-12","Southland","9034217","50000","1"
"2023-11-12","Manawatu-Whanganui","3236622","155700","3"
"2023-11-12","Waikato","1046138","192000","2"
"2023-11-12","Wellington","7442430","459200","6"
"2023-11-12","Taranaki","4547743","100000","2"
"2023-11-12","West Coast","4172903","15000","2"
"2023-11-12","Canterbury","4268087","81000","3"
"2023-11-12","Northland","806659","65000","1"
"2023-11-12","Gisborne","14079646","37000","1"
"2023-11-12","Bay of Plenty","4118773","202020","5"
"2023-11-05","Waikato","1253288","198600","3"
"2023-11-05","Wellington","4474495","459200","6"
"2023-11-05","Hawke's Bay","6000222","135000","2"
"2023-11-05","Southland","7431586","50000","1"
"2023-11-05","Bay of Plenty","4837201","202020","5"
"2023-11-05","Taranaki","6559441","100000","2"
"2023-11-05","Manawatu-Whanganui","6001049","155700","3"
"2023-11-05","Otago","4061930","161500","4"
"2023-11-05","Canterbury","5148147","449000","4"
"2023-11-05","Gisborne","427463","37000","1"
